Room,Building,Capacity,AV Equipment,Location,URL
ELL 060 – Classroom,Home Rooms,68,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-061-classroom.php
MAC D116 – Classroom,Home Rooms,59,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d116-classroom.php
CLE D285 – Classroom,Home Rooms,14,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d285-classroom.php
DSB C124 – Classroom,Home Rooms,20,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c124-classroom.php
CLE D134 – Classroom,Home Rooms,18,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, audio aux); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d134-classroom.php
HSD A270 – Classroom,Home Rooms,30,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Human and Social Development building,https://www.uvic.ca/search/rooms/pages/hsd-a270-classroom.php
MAC D115 – Classroom,Home Rooms,60,"1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; TV displays at each learning pod; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d115-classroom.php
CLE A308 – Classroom,Home Rooms,12,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a308-classroom.php
COR A125 – Classroom,Home Rooms,65,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a125-classroom.php
COR A129 – Classroom,Home Rooms,61,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a129-classroom.php
CLE A208 – Classroom,Home Rooms,43,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a208-classroom.php
DSB C128 – Classroom,Home Rooms,35,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c128-classroom.php
COR B135 – Classroom,Home Rooms,80,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, audio aux); Wireless mic and room speakers",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b135-classroom.php
DTB A104 – Classroom,Home Rooms,110,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Turpin Building,https://www.uvic.ca/search/rooms/pages/dtb-a104-classroom.php
DTB A110 – Lecture theatre,Home Rooms,140,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Turpin Building,https://www.uvic.ca/search/rooms/pages/dtb-a110-lecture-theatre.php
CLE A312 – Classroom,Home Rooms,30,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a312-classroom.php
CLE D132 – Classroom,Home Rooms,24,this website stores cookies on your computer,of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d132-classroom.php
COR B112 – Classroom,Home Rooms,71,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b112-classroom.php
DTB A120 – Lecture theatre,Home Rooms,250,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Turpin Building,https://www.uvic.ca/search/rooms/pages/dtb-a120-lecture-theatre.php
MAC D016 – Classroom,Home Rooms,40,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d016-classroom.php
MAC D107 – Classroom,Home Rooms,15,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d107-classroom.php
ELL 162 – Classroom,Home Rooms,54,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-162-classroom.php
ELL 168 – Lecture theatre,Home Rooms,180,"2 document cameras on electric height-adjustable desks; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-168-lecture-theatre.php
MCK 155 – Classroom,Home Rooms,38,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the McKinnon Building,https://www.uvic.ca/search/rooms/pages/mck-155-classroom.php
